Policy,Mu,Rho,N,Mean,SD,CI_Lower,CI_Upper,P-Value,Simulation_Time
FIFO,0.5,0.75,1,5.8062,0.5271,5.0745,6.538,nan,0.5622
FIFO,0.5,0.9,1,17.1878,3.7102,12.0373,22.3383,0.0032612668043519107,0.627
FIFO,0.5,0.95,1,22.3971,7.6659,11.755,33.0391,0.26875603284203986,0.4659
FIFO,0.5,0.99,1,52.8008,23.3477,20.389,85.2126,0.05771097038025152,0.5342
FIFO,0.5,0.75,2,3.4743,0.3888,2.9345,4.0141,nan,0.5879
FIFO,0.5,0.9,2,8.0935,0.7802,7.0103,9.1766,4.7860152253007916e-05,0.5978
FIFO,0.5,0.95,2,18.6024,7.2584,8.5261,28.6787,0.04384593987036603,0.5378
FIFO,0.5,0.99,2,34.2404,22.6911,2.74,65.7407,0.24838974131353395,0.793
FIFO,0.5,0.75,4,2.2511,0.1754,2.0077,2.4946,nan,0.6126
FIFO,0.5,0.9,4,5.2521,1.1484,3.6579,6.8463,0.005886422155397778,0.5625
FIFO,0.5,0.95,4,9.1694,1.7761,6.7037,11.6351,0.007919230606678025,0.4756
FIFO,0.5,0.99,4,27.1749,15.5206,5.6289,48.721,0.08078548860330828,0.4753
SJF,0.5,0.75,1,5.9977,0.4221,5.4117,6.5837,nan,0.4614
SJF,0.5,0.9,1,22.0967,3.5777,17.1301,27.0633,0.0007631348519546953,0.6979
SJF,0.5,0.95,1,26.0742,4.1913,20.2558,31.8927,0.187753535700298,0.6181
SJF,0.5,0.99,1,82.5149,50.0033,13.0992,151.9306,0.08675651325259232,0.4071
SJF,0.5,0.75,2,13.5895,2.2404,10.4794,16.6996,nan,0.4296
SJF,0.5,0.9,2,270.3711,44.1823,209.0362,331.706,0.0003057547165167073,0.4482
SJF,0.5,0.95,2,459.8937,73.3163,358.1144,561.6731,0.003563755948993106,0.4357
SJF,0.5,0.99,2,524.9477,43.2715,464.8772,585.0181,0.1736407838389141,0.4746
SJF,0.5,0.75,4,47.8261,29.4272,6.9746,88.6775,nan,0.4257
SJF,0.5,0.9,4,268.4339,17.667,243.9081,292.9597,6.858823853468017e-06,0.4426
SJF,0.5,0.95,4,340.8702,20.1236,312.9341,368.8063,0.0006751697254437175,0.4394
SJF,0.5,0.99,4,420.7964,26.236,384.375,457.2178,0.001558836575960033,0.4748
